date,Close,High,Low,Open,Volume,MA5,MA20,MA50,MA5_cross_MA20,RSI,RSI_oversold,RSI_overbought,EMA12,EMA26,MACD,MACD_signal,MACD_histogram,MACD_signal_cross,MA20_std,upper_band,lower_band,BB_position,volatility_20d,volatility_50d,ROC_5,ROC_10,ROC_20,volume_MA20,volume_ratio,OBV,gap_up,gap_down,daily_return,target_direction,fear_greed_value,VIX
2020-07-09,293.5902099609375,296.1303388402468,290.13487773926755,295.8875233923935,83354200,293.9115051269531,288.5628829956055,281.59994140625,1,54.11622013230514,0,0,291.0427543784513,287.82062616125137,3.222128217199952,3.1282580667894475,0.0938701504105044,0,4.663700162941664,297.8902833214888,279.23548266972216,0.7694923981863031,1.6161815804330897,3.8938423873803516,1.2430747937013598,3.3838444245923416,-1.0146234556627665,104399920.0,0.7984124892049725,1804451200,1,0,-0.5693173070642321,1,53.0,29.260000228881836
2020-07-10,296.5880432128906,296.85887374233175,292.07745949573626,293.5249479299481,57550400,294.9126281738281,289.41723785400393,282.0792901611328,1,59.02036406991565,0,0,291.8958757375958,288.47006446137283,3.425811276222987,3.1877687086761557,0.2380425675468314,0,4.477651732538366,298.37254131908065,280.4619343889272,0.9003664078415047,1.5471268282911022,3.9307035433249093,1.7167067539281877,3.33172784532878,6.113430888073812,96815260.0,0.5944352161012634,1862001600,0,1,1.021094420127966,0,59.0,27.290000915527344
2020-07-13,294.01983642578125,301.36939399134485,293.35679623421123,298.960020218058,102997500,294.499853515625,289.97582244873047,282.5580401611328,1,54.18818265492971,0,0,292.2226389203936,288.8811586809586,3.3414802394349863,3.218511014827922,0.12296922460706439,0,4.308672571629493,298.59316759198947,281.35847730547147,0.7346438438881753,1.4858730411537302,3.9198689735981334,-0.6970573602275265,4.929145581148897,3.9497136928529297,92231190.0,1.1167317693721615,1759004100,1,0,-0.8659171689082257,1,53.0,32.189998626708984
2020-07-14,297.8300476074219,298.6144955528962,291.36765000974606,292.5816704849982,93657000,295.4598754882812,290.5928894042969,283.25599548339846,1,56.47750738394739,0,0,293.0853171799364,289.5440393421781,3.5412778377582868,3.2830643794139953,0.25821345834429144,0,4.511201006659161,299.6152914176152,281.5704873909786,0.9010660460729827,1.552412729680665,3.852444391856216,1.6380953769551176,4.749419892085283,4.322881691657865,90124905.0,1.0391911092721817,1852661100,0,1,1.2959027621942232,1,62.0,29.520000457763672
2020-07-15,300.56634521484375,301.67765383012204,298.15694241049283,301.089310622095,87196500,296.518896484375,291.07201995849607,283.9941711425781,1,68.4999969363934,0,0,294.2362445699221,290.36050644385705,3.875738126065073,3.4015991287442113,0.47413899732086184,0,5.03353749925896,301.139094957014,281.00494495997816,0.9715533190000794,1.7293099831363703,3.8054754364894077,1.7933019742341738,4.374761356566115,3.293177576611539,87603355.0,0.9953557144015774,1939857600,1,0,0.9187446429275825,0,63.0,27.760000228881836
2020-07-16,299.5764465332031,300.03403414297895,297.98885464293335,298.6425756564509,54622500,297.7161437988281,291.56209564208984,284.6638311767578,1,64.67251977296323,0,0,295.0578141027346,291.0431686726975,4.014645430037092,3.5242083890027875,0.4904370410343044,0,5.366724220339654,302.29554408276914,280.82864720141055,0.8733353234706586,1.8406796701473958,3.7631916979760796,2.038976903576617,3.307397705215731,3.382457404128014,86164535.0,0.6339325106321295,1885235100,0,1,-0.32934448496988455,1,62.0,28.0
2020-07-17,300.44488525390625,301.23868105543204,298.5958109926491,300.59430798709116,62774900,298.4875122070313,292.09001007080076,285.3869329833984,1,77.47883113557273,0,1,295.88659427983794,291.73959212315737,4.147002156680571,3.648767142538344,0.49823501414222715,0,5.7020570153529775,303.4941241015067,280.6858960400948,0.8663097001928302,1.952157492127456,3.688946561347156,1.3004037516937794,3.039434624655657,3.642213436271846,85261845.0,0.7362601642035778,1948010000,1,0,0.28988885166139067,1,63.0,25.68000030517578
2020-07-20,302.87298583984375,303.6294189107428,299.4176524670027,300.17408553790176,56308800,300.2581420898438,292.8221633911133,286.094814453125,1,76.39540489478598,0,1,296.96142375060805,292.56428795402303,4.397135796585019,3.7984408733476793,0.5986949232373395,0,6.106109653625239,305.03438269836374,280.60994408386284,0.9115067947872193,2.085262120500593,3.66624590167709,3.0110721513503247,2.293025891070055,5.080342261145332,81299805.0,0.6926068272857481,2004318800,0,1,0.8081683879842094,1,66.0,24.459999084472656
2020-07-21,303.5173645019531,305.31038051767416,302.51811588410635,304.86214076348176,57292200,301.39560546875,293.4940872192383,286.7270684814453,1,74.19334619826171,0,1,297.9700300200458,293.37562695757344,4.594403062472338,3.957633311172611,0.636769751299727,0,6.514110436992669,306.5223080932236,280.46586634525295,0.8846755969086024,2.2195031248199113,3.685945045235032,1.9095846574983089,3.578960852446955,4.632697214871073,80431945.0,0.7123065344248483,2061611000,1,0,0.21275540977105933,1,65.0,24.84000015258789
2020-07-22,305.2449645996094,305.5625057184736,303.04104341813326,303.1531033426866,57792900,302.3313293457031,294.1856201171875,287.39276000976565,1,73.95877555205666,0,1,299.089250724594,294.25483715327977,4.834413571314258,4.132989363200941,0.7014242081133171,0,6.997865606536651,308.18135133026084,280.1898889041142,0.8950970590265194,2.3787245629983826,3.7117495450029674,1.5566012160880272,3.3778177506612606,4.746046314068053,79898030.0,0.7233332286165254,2119403900,0,1,0.5691931664242977,0,65.0,24.31999969482422
